# pos_x 	 Vel X 	 pos y	 Vel Y
-2.819714655570853878e+00	-3.063466490852519986e-01	-4.199085923070981607e+00	2.205257188002986424e-01
9.181756543175442431e+00	3.442587058321381899e-01	9.473066457826613274e+00	-3.605202910284324158e-01
3.351732673255336969e+00	-4.961438389905570984e-02	-7.566138822000487707e+00	2.596182309288164736e-01
-8.584652358334734501e+00	2.972500504561203030e-02	4.841661048625654828e+00	-5.560819397762267746e-01
5.933886462102158532e+00	8.010634287463007375e-02	5.231962484655206858e+00	4.217056869689640997e-01
8.842266075609268583e+00	-5.105752211013249164e-01	3.005041474227237330e+00	-4.787626203297520172e-02
-2.538379759780579725e+00	7.424099934856679406e-01	-1.724822852161800313e-02	6.470814723699980231e-01
1.454975621033705036e-01	8.116069533116143653e-02	5.483451454167702188e+00	3.368517160421083956e-01
6.838871923081900839e+00	2.078279776709087423e-01	-1.856958063795606684e+00	5.634101842286737272e-01
2.238324971880977454e+00	-3.775826818970292043e-01	9.506933335567801180e+00	5.304696399840855975e-02
3.375709501056607831e+00	3.278314725855703826e-01	-9.991992028473850596e+00	-7.062104101718337350e-03
3.348537624265612855e+00	4.278350461407668948e-01	8.519213048260050769e+00	3.216777537367842554e-01
1.622225219618717240e+00	-3.358266607667262371e-01	8.878506876173307916e+00	-4.998091510657438619e-01
9.835603471724989610e-01	-3.537105353074072034e-01	-6.779608179565097537e+00	-6.587279599930504492e-01
-6.597970833674538405e+00	2.077214499938057901e-01	6.800139432785554661e+00	-1.022625674640785937e-01
-7.476852246095914367e+00	-1.498972718557852746e-01	-6.690411849116153498e+00	5.173590927006042062e-01
-1.624840026030979434e+00	2.457362223005385427e-01	5.831646329975630483e-01	-3.658966091405102539e-02
-4.684509363369548929e+00	-2.947049157435272515e-01	-2.944841908373655226e+00	2.384681761339629835e-01
6.000365592664843817e+00	-1.915242536340087303e-03	8.428096179446306735e+00	4.183796219154334861e-01
8.652694899754715507e+00	1.524753258033153813e-01	-7.530975215234595233e+00	-1.972131338103537967e-01
-1.348550531613313397e-01	1.994123881010448351e-02	-7.278164919655297993e+00	3.650538974008809556e-01
1.051784835771364968e+01	-7.575278301331888064e-01	7.758215289472434328e+00	3.493082769386026132e-01
1.188870473815508255e+00	1.595166905016004721e-01	-3.156644260936138480e+00	-2.236925463564311545e-01
6.058723828851214854e+00	2.018692258985479437e-01	-7.110753501060157689e+00	3.214591047775029464e-01
-7.689819971327510828e+00	2.976741960215817384e-01	5.181583664566095315e+00	-2.394444380834158826e-03
-7.918581537722028330e+00	8.822677996140453338e-01	-3.217652312010411908e+00	-4.370609887848131425e-02
-7.355749589258993026e+00	7.592871506668890103e-01	-4.370620509656912844e+00	4.501820512015192732e-01
-9.051807809725280762e+00	-2.478649960143925468e-01	8.137436927926607666e+00	1.590598420667603818e-01
-2.134305544949220756e+00	-2.404281840289655414e-01	8.767375313126132497e+00	1.834572552696822276e-02
3.900554683448336668e+00	4.734649726456748725e-02	2.142453592489700132e+00	3.672648216355517414e-01
5.223347062357169612e+00	4.204080026888902359e-03	1.639732148229025244e+00	9.294047157823465133e-02
-2.481204578953838169e+00	-2.835285781483515288e-01	-6.426159359024220530e-01	-2.028785251641175846e-01
-1.838329150100950216e+00	1.343688792876224225e-01	6.535931111463009202e+00	-8.692813486271537549e-02
-8.794397632834455081e+00	-4.655363801426522230e-02	-2.112389965920428381e+00	-6.231477764085792057e-03
6.665916161154728847e+00	3.482664832019836676e-01	-6.271436229831291342e+00	-1.998183617152098357e-01
-4.500497523887831974e-01	-4.000348287385298990e-02	5.625781057911963146e+00	3.181427555341232449e-01
-8.717292619827745170e+00	1.016144565116303689e-01	-9.807562563692252766e+00	-3.500659532940818362e-03
2.086717604502360768e+00	-3.990549835668438794e-01	7.288915876526370852e+00	-1.255200791789135017e-01
3.490288235614507961e+00	3.997223756308972420e-01	-4.264343196202638353e+00	2.010263092822321129e-01
7.110520321930629883e+00	6.945979791240763923e-02	-1.275587039253591737e+00	4.832682242993719957e-01
6.991938589742022758e-01	-1.067754829448050030e-01	3.167432143237704167e+00	-1.923790612450887727e-01
3.167684448509128448e+00	1.674644240297802622e-01	-6.271646592508719475e-01	1.039750256764309343e-02
1.391258906679373464e+00	-3.580881037163255454e-01	-2.821684123427425916e-01	1.727331585912090794e-01
-9.450599102031601362e+00	-2.163473422895248188e-01	-4.497232336797859276e+00	2.577982542133580579e-01
3.484899202922267403e+00	-2.391951697915800090e-01	-6.164711649994366383e+00	3.090601816201182239e-01
-4.931227126577601427e-01	2.170434654205409264e-01	-5.954750855530884124e+00	-4.141023362286913589e-02
2.361158026910731955e+00	4.318624848744521127e-01	-9.316361622022427680e-01	-1.326463680510224785e-01
7.863362125748819764e+00	-2.818860965884721348e-01	6.371708502112958250e+00	3.193944659561267496e-01
4.103051341447578881e-01	6.623978079585524092e-02	-3.803019480874927805e+00	-5.811994914796051459e-01
-4.507243941812688615e-02	4.704552665309383874e-01	9.140592345982405220e+00	1.033741965335338575e-01
-9.040923734534677791e+00	3.158101130470007678e-02	7.902783225149559776e+00	-2.841724672357072157e-01
6.534256471514997777e+00	2.268202095226212467e-01	4.044238034065369192e+00	-5.486213992401191009e-01
-9.571356006483054957e-01	-8.672266126852112844e-02	-5.866291930421310141e+00	-2.393913059778235777e-02
2.657680447053800243e+00	2.812637025302907601e-01	9.342968086168729869e+00	3.916131204128827092e-01
-8.054912435525682923e+00	-5.892921117709771783e-01	1.179672818791121180e+00	-4.080920814083282416e-02
9.892446862649194372e+00	3.318689380571629988e-01	-8.580513362118182386e+00	3.697317503715317755e-01
7.971331264694941687e+00	-2.712439821018017838e-01	-4.350279107602659678e+00	2.385649057073288212e-02
4.287867556453210049e+00	2.908030782333778097e-01	-3.200037701796717204e+00	3.636505952749602422e-01
3.552986762336210469e-01	1.198112161885833832e-01	8.708758389114414911e+00	-7.423421339449088885e-01
-2.123478219437942904e+00	-9.060741323914476286e-01	-4.977135183829671128e+00	-5.016128661290554236e-01
-2.258145520016319630e+00	-3.231427455741030935e-02	-4.368086974300833703e+00	1.261421503995889815e-01
-2.795855743520781367e+00	2.062922150116795750e-01	-6.665779415548753306e+00	-1.124086743807184291e-01
-2.489751222591414237e+00	-5.415694643851441947e-01	-1.418143558535231330e+00	1.170789301969052260e-01
5.758008757299220015e-01	4.063865407670267382e-01	7.589515394635064638e-01	5.167324114060463103e-01
-6.360065835288776448e+00	-1.422916424200900698e-01	3.287909775524321176e+00	4.746860323549402239e-01
-1.644354116519745501e+00	-1.935153305235045029e-01	4.752190902719023669e+00	1.072000435904931076e-01
-9.041037941609115336e+00	1.526087402440543528e-01	4.024310889218511988e+00	-4.279083337351428651e-01
-4.330835147440871502e+00	2.453653147338357154e-01	-7.137897517269554015e+00	-4.128459616967753987e-01
-9.314282291213061171e+00	4.317720941299380000e-01	-1.559074606306811717e+00	5.219390239296349820e-01
7.335141703898471199e+00	1.643214541290826669e-01	3.959425396104291117e+00	5.934800748573597351e-02
-9.184634303332595451e+00	2.072442608134897613e-01	-8.975441085683998566e+00	1.362510349527217002e-01
5.186941223101352527e+00	-4.265315332438239238e-01	-8.941074488132446874e+00	-1.377754778098738697e-01
-3.478040096834662975e+00	4.004479418100591048e-01	3.247023504597631671e+00	1.703929210053803101e-01
1.978702938419016899e-01	5.243287993805721692e-02	7.897994351288824433e+00	-7.903379630704815417e-02
-3.445312316466805136e+00	3.229663488278024519e-01	4.796627067357049690e+00	5.130015236041132187e-01
-2.520753484481182305e+00	-6.795513564049526691e-04	4.721402967055939648e+00	-3.681932664792011978e-02
-4.198305401109148072e+00	-5.422384061983471365e-02	3.980371344394008748e+00	4.006427648805323538e-01
4.020098863283733337e+00	-2.804313426588577185e-01	3.816260881468002797e+00	9.199808038186584047e-02
5.417005635645285366e+00	-7.746859882695733557e-02	-5.354498869701088459e+00	-6.572434438505229959e-02
-7.740979165802193585e+00	-2.247528045764116411e-01	9.281281615119628015e+00	9.944902253238209477e-02
5.797203896193964257e-01	9.273552983636791647e-02	-2.438690589350166693e+00	-1.896350218293160195e-01
5.663634032219324155e+00	3.824716836749025850e-01	-9.047807337958316154e+00	1.726741619522931537e-01
-5.224059023306084626e+00	-5.178184807142296314e-02	-6.815174126342554928e+00	9.242602770400103473e-01
4.112282728369190399e-01	-1.891770278796449101e-01	-5.943877025356311350e+00	3.543320191269048736e-01
1.027618567589185083e+01	-3.386188381282156934e-01	-3.163494371422334250e+00	-2.672502973376220115e-01
9.832233432494053460e+00	-8.359744064639441918e-02	-1.004414046804359550e+01	1.912484342984920038e-01
-9.492522579671984317e+00	5.591922390555739142e-01	-3.215175369065153888e+00	3.168141814385235233e-01
-6.180375571517255917e-01	-2.501141617317077792e-02	9.651634381349012415e-01	4.123239632617881067e-02
-1.674425248194943094e+00	4.176901854981255324e-01	-7.248264647587010501e-02	6.163980679978957600e-01
-7.222879288876551840e+00	1.101882910854648512e-01	9.969365468541500519e+00	1.439096251389433700e-01
1.615625505947584584e+00	1.406715413401290748e-01	8.536147562651041909e-01	-1.476017991716011835e-01
-1.138423360817282015e+00	-1.074170030967204481e-01	-7.059048317045134802e+00	-6.137066920796256653e-02
-5.645487695355155822e+00	-2.447611279088826308e-01	-6.178284407079084772e+00	-1.830528917314460935e-01
-4.891423823379571267e+00	-4.361276643617583160e-01	-7.984636910355438211e-01	-5.191184884336731420e-01
7.296510616103490943e-01	-1.161726679465562850e-01	9.676005816525615089e+00	3.086084297605869442e-01
2.956257293277268161e+00	2.692586090570705526e-01	5.642047687161237945e+00	-4.020308658997860385e-01
4.503951826678329162e+00	-4.219975228632921183e-01	-9.783809195553988758e+00	1.225546084521696999e-01
4.531426789602992500e+00	-2.037965714307148901e-01	8.107733081338217573e+00	-3.402312348212842008e-01
1.807071056323907632e+00	3.665913723552229886e-01	6.481055768295920672e+00	2.667811137972350144e-01
-7.698329849974488326e+00	2.886692577025306572e-01	5.407199725829579862e+00	-1.524658392049017264e-01
9.738628395245449099e+00	-1.749038417069028462e-01	-4.300884717712951222e+00	3.555743921961276865e-01
-4.631741514573763929e+00	-1.531154450893989494e-01	-6.219721516448875498e+00	-3.244382249591381551e-01
-8.360100967369344716e+00	-2.553758572006637473e-01	1.929932089768064074e+00	-2.977975535275644292e-01
4.785213258323652852e-01	2.074870989290295009e-01	3.094442335099337527e+00	9.723024526725716765e-02
-9.971197636317821633e+00	2.574369009431874966e-01	-2.897114886936947853e-01	1.677445973014727032e-01
8.395833420247495127e+00	-2.565864630263028912e-01	5.561043346511278962e+00	2.577245167681069260e-01
-2.982334735348618704e+00	-4.041805941757345422e-01	-6.169076088748938425e+00	-3.960487021718364642e-01
-5.960632288277217583e+00	1.335300523711121790e-01	2.551345674072791336e+00	1.754072966124871347e-02
-5.258041884684462985e+00	1.513907412048243473e-01	9.844545018185630880e-01	2.536942000143107556e-01
-5.115656805296011633e+00	8.952650649968114938e-02	-6.595151151690979319e+00	-3.545212608517796515e-01
4.806170852929074755e+00	-1.023008573282217365e-01	4.494590050904779588e+00	-2.975489721600737547e-01
2.664746026653062039e+00	-2.566911115183599379e-01	2.859638901003422440e+00	3.017748648608103990e-01
3.014915744356218563e-01	2.918904205946220576e-01	-4.666106257713311223e+00	3.686124636857301962e-01
-2.351899977015758481e+00	-3.945027493658662815e-02	3.977126701721178659e+00	2.931919040785300745e-01
4.012733809934498908e+00	-4.068434064313863896e-01	-8.691395775427954717e+00	5.088274747476997373e-01
4.093494974124089580e+00	-2.176681515140088952e-01	-4.082161174772709344e+00	2.580395178543225532e-01
-6.129491780030829950e+00	-4.611316931012977571e-01	9.061683476296769513e+00	-9.583493856694012825e-02
4.888609599610624912e+00	-5.500943435235854384e-01	9.391608951796959204e+00	-2.877371605761324669e-01
9.054641325148672593e+00	7.636532772835687155e-02	8.712929886656104461e-01	1.711524833572307114e-01
3.572519031027331593e+00	1.451000757536557439e-01	-5.690384475504063566e+00	-4.189227517733604134e-01
-1.520848675907827685e+00	-3.833807309484802972e-01	-3.054483148466736964e+00	2.594533322718327595e-01
-2.707679624043130007e-02	-4.060204347054531537e-02	-9.475867178529533419e+00	-2.336940415600604615e-01
-1.004546935807225427e+00	1.699536296945478864e-01	4.468606819802524832e+00	-3.269318689294535285e-01
-4.879644581882988774e+00	2.398365174827363777e-01	-9.288437447945863568e+00	-3.481076619862981114e-01
3.023827339660911662e-01	-2.821289980086126928e-02	-3.242984160485304024e+00	2.270187046108053941e-01
2.521648960351484892e+00	1.489105113108310507e-01	3.127245010431062511e+00	-3.089295052509515305e-01
-8.718885579750967452e+00	3.922049730601259165e-01	-3.039429049629281732e+00	-2.952697507677981004e-01
-5.312444002497420215e+00	4.897717507691681099e-02	-8.415956273795549336e+00	-3.320040878953606778e-01
1.729293824457487139e+00	-1.156305398062003192e-01	-2.424200401352795131e-01	-5.920181109001424469e-01
-9.216957442547194290e+00	-7.069149154960084613e-02	-4.363647747459999060e+00	-3.896575466322196313e-01
-6.519708268753444891e+00	8.777238489413577080e-03	-8.413514419327141169e+00	3.828657837387697271e-01
-4.432005250118997708e+00	-2.771218497870582276e-01	-3.339871944860490771e-01	-2.131799223373632979e-01
1.016730283544674585e+01	-2.284792067833567031e-01	3.137581348928954572e+00	3.599569543544378081e-01
-7.794007048332502130e+00	-3.180135546337733987e-01	-9.212118289795830250e+00	4.116821034850094985e-01
-2.117071414085495373e+00	7.369408899005729374e-01	-8.516089652266567001e+00	5.059866893063691418e-02
8.712353313020756218e+00	-2.783039794127394329e-01	8.243235405206577937e+00	1.824450100216064019e-01
4.508275602115054959e+00	1.834735533425302101e-01	-9.482380234774067773e+00	9.724508233551248937e-02
-4.188572580678998847e+00	2.809983199382067864e-01	7.179158932915736813e+00	-1.570318832533569020e-01
7.756726019565437724e+00	-1.605046078925328745e-01	-3.534422575025203628e+00	-9.499419782623146069e-02
9.748649748762055367e+00	-1.683727713752423694e-01	1.027537200459645028e+00	-4.246098165542525060e-01
-8.168611932294613354e+00	-3.106579299177220088e-01	6.541337191074028112e+00	-4.488825638088693171e-01
-5.678701594693950305e+00	-1.198020547661338975e-01	-3.770509781118625448e+00	3.376382574203650733e-01
-5.226109452526449317e+00	-2.278810114305174772e-01	-9.230435357487991155e+00	-4.518397123623658085e-01
7.064387324950756053e+00	-7.554183931604752100e-02	5.386037750666604396e+00	2.355495628784071704e-01
