# pos_x 	 Vel X 	 pos y	 Vel Y
-1.594328059229845662e+00	3.063466490852519986e-01	1.534582765736783649e+00	-2.205257188002986424e-01
-1.834522043452980311e+00	-3.442587058321381899e-01	-2.784623437140092861e+00	-3.605202910284324158e-01
7.320883385179793201e+00	-4.961438389905570984e-02	8.010955033728494712e+00	-2.596182309288164736e-01
-9.060252439064539587e+00	-2.972500504561203030e-02	8.178152687283013478e+00	-5.560819397762267746e-01
-4.746209678682446476e-01	8.010634287463007375e-02	7.762196606468989124e+00	-4.217056869689640997e-01
8.842266075609268583e+00	-5.105752211013249164e-01	6.835142436865265125e+00	-4.787626203297520172e-02
-1.053559772809244510e+00	-7.424099934856679406e-01	-1.037055178644158637e+01	6.470814723699980231e-01
-6.347358064389532650e+00	8.116069533116143653e-02	1.441230861662399221e+00	-3.368517160421083956e-01
-9.787366290590799878e+00	2.078279776709087423e-01	-5.237419169167648825e+00	5.634101842286737272e-01
-8.333990121235837378e+00	-3.775826818970292043e-01	5.263176215695132498e+00	5.304696399840855975e-02
2.720046555885465622e+00	-3.278314725855703826e-01	-9.427023700336354395e+00	-7.062104101718337350e-03
1.019389836251788495e+01	-4.278350461407668948e-01	-3.061186086264182649e+00	-3.216777537367842554e-01
-8.452574603383073537e+00	3.358266607667262371e-01	7.878888574041820192e+00	-4.998091510657438619e-01
-8.920334641434898515e+00	3.537105353074072034e-01	5.077495100309808329e+00	-6.587279599930504492e-01
2.957215866040527441e+00	-2.077214499938057901e-01	5.163938353360292055e+00	1.022625674640785937e-01
4.514929502366900493e+00	-1.498972718557852746e-01	-6.690411849116153498e+00	5.173590927006042062e-01
8.325221969744067696e-01	-2.457362223005385427e-01	3.510337506121635975e+00	-3.658966091405102539e-02
1.209588951500996101e+00	2.947049157435272515e-01	1.824521614305606665e+00	-2.384681761339629835e-01
6.153584995572026983e+00	-1.915242536340087303e-03	4.244299960291971097e+00	-4.183796219154334861e-01
-3.545331164510526545e+00	1.524753258033153813e-01	8.246075489593703622e+00	-1.972131338103537967e-01
-1.730154157969691964e+00	1.994123881010448351e-02	4.403559797172893475e+00	3.650538974008809556e-01
-7.662819565482879014e+00	7.575278301331888064e-01	7.343319682317944741e-02	-3.493082769386026132e-01
-8.701164337283728401e+00	-1.595166905016004721e-01	5.343672500608241727e+00	2.236925463564311545e-01
-1.009081424303263397e+01	2.018692258985479437e-01	7.676365318704981178e+00	3.214591047775029464e-01
8.979935005881070964e+00	2.976741960215817384e-01	5.373139215032826321e+00	-2.394444380834158826e-03
6.197703256102695235e+00	8.822677996140453338e-01	2.788355982680877920e-01	-4.370609887848131425e-02
6.311419122745011379e+00	-7.592871506668890103e-01	1.312000023582803876e-01	4.501820512015192732e-01
9.290201895339770033e+00	2.478649960143925468e-01	-4.587350437414222881e+00	1.590598420667603818e-01
3.155114503688019933e+00	2.404281840289655414e-01	7.299717270968665517e+00	1.834572552696822276e-02
1.128349022829421011e-01	4.734649726456748725e-02	6.549631452116321917e+00	-3.672648216355517414e-01
4.887020660206068179e+00	4.204080026888902359e-03	-5.795505578029750637e+00	9.294047157823465133e-02
3.540812025296761201e-01	2.835285781483515288e-01	4.632225718364636258e+00	2.028785251641175846e-01
-7.481822080181096624e+00	-1.343688792876224225e-01	6.535931111463009202e+00	8.692813486271537549e-02
-5.070106591693269493e+00	-4.655363801426522230e-02	-1.613871744793570429e+00	-6.231477764085792057e-03
1.093652429922988611e+00	-3.482664832019836676e-01	9.714032707385477750e+00	-1.998183617152098357e-01
2.750228877519452997e+00	-4.000348287385298990e-02	-7.370740527705015310e-01	-3.181427555341232449e-01
-3.230111968199726125e+00	-1.016144565116303689e-01	-9.527509801056973870e+00	-3.500659532940818362e-03
-6.692492033968203913e+00	-3.990549835668438794e-01	2.770193026085473686e+00	1.255200791789135017e-01
8.286956743185278640e+00	-3.997223756308972420e-01	1.582356080064662718e-01	-2.010263092822321129e-01
1.553736488938034954e+00	6.945979791240763923e-02	1.624022306542639571e+00	4.832682242993719957e-01
9.241232494558595079e+00	-1.067754829448050030e-01	1.628399653276994208e+00	1.923790612450887727e-01
-9.894540625813736057e+00	-1.674644240297802622e-01	-1.458964864662315675e+00	1.039750256764309343e-02
-9.351384204810392120e+00	3.580881037163255454e-01	-6.155095804443845964e+00	-1.727331585912090794e-01
7.857188281130382812e+00	-2.163473422895248188e-01	4.783504814883031919e+00	-2.577982542133580579e-01
-2.255784872075651482e+00	2.391951697915800090e-01	9.906417794251790809e+00	3.090601816201182239e-01
-2.229470436022087387e+00	-2.170434654205409264e-01	-2.641932165701343482e+00	-4.141023362286913589e-02
8.407232815153063754e+00	4.318624848744521127e-01	9.680073281879556291e+00	-1.326463680510224785e-01
-1.017734805591340397e+01	2.818860965884721348e-01	-1.293758680834087071e+00	-3.193944659561267496e-01
-4.888877329523651838e+00	6.623978079585524092e-02	2.008975433921124321e+00	-5.811994914796051459e-01
3.718569692829381435e+00	4.704552665309383874e-01	8.706566232996991728e-01	1.033741965335338575e-01
-8.472465531050071164e+00	-3.158101130470007678e-02	-9.715909743464283821e+00	-2.841724672357072157e-01
-8.435877356978009445e+00	-2.268202095226212467e-01	7.335966429506083131e+00	-5.486213992401191009e-01
5.980677300833381338e+00	-8.672266126852112844e-02	-3.951161482598692043e+00	-2.393913059778235777e-02
-7.174839833096909869e-01	-2.812637025302907601e-01	1.510705677911074574e+00	-3.916131204128827092e-01
-2.161991317815913138e+00	-5.892921117709771783e-01	4.444409470057752110e+00	-4.080920814083282416e-02
-3.382310659637322470e+00	-3.318689380571629988e-01	2.511439149027770767e+00	3.697317503715317755e-01
-9.388283589820368036e+00	2.712439821018017838e-01	-6.258798353261283864e+00	2.385649057073288212e-02
-1.528194008214346145e+00	-2.908030782333778097e-01	8.436781347002005660e+00	3.636505952749602422e-01
-9.229598618853067649e+00	1.198112161885833832e-01	-6.138084289783764191e+00	7.423421339449088885e-01
-7.559923013786628232e+00	9.060741323914476286e-01	-5.980360916087781753e+00	-5.016128661290554236e-01
3.269964445765036753e-01	-3.231427455741030935e-02	-5.629508478296727958e+00	-1.261421503995889815e-01
-7.329335934039870049e-01	-2.062922150116795750e-01	2.326914534908722576e+00	-1.124086743807184291e-01
-3.234733650508371250e-01	-5.415694643851441947e-01	-9.379510811924797409e+00	-1.170789301969052260e-01
9.516304772604513573e+00	4.063865407670267382e-01	-2.745132833485861568e-01	5.167324114060463103e-01
5.023265558318425583e+00	-1.422916424200900698e-01	6.136025969653962520e+00	4.746860323549402239e-01
6.483289765467440624e+00	1.935153305235045029e-01	-3.823812584520425606e+00	1.072000435904931076e-01
1.031138914498476389e+00	-1.526087402440543528e-01	-1.966405783073488456e+00	-4.279083337351428651e-01
3.520854924041874945e+00	-2.453653147338357154e-01	-5.486513670482451310e+00	4.128459616967753987e-01
